business_id,score,date,type,new_date,year
253,98,20150217,routine,2015-02-17,2015
256,100,20150908,routine,2015-09-08,2015
256,90,20171205,routine,2017-12-05,2017
256,96,20161019,routine,2016-10-19,2016
268,94,20150903,routine,2015-09-03,2015
268,91,20160725,routine,2016-07-25,2016
268,100,20171228,routine,2017-12-28,2017
272,78,20160517,routine,2016-05-17,2016
273,75,20171002,routine,2017-10-02,2017
273,80,20150519,routine,2015-05-19,2015
273,78,20160920,routine,2016-09-20,2016
275,96,20161031,routine,2016-10-31,2016
275,98,20180116,routine,2018-01-16,2018
275,96,20151020,routine,2015-10-20,2015
276,100,20151103,routine,2015-11-03,2015
276,100,20170512,routine,2017-05-12,2017
276,100,20171103,routine,2017-11-03,2017
279,98,20160518,routine,2016-05-18,2016
279,92,20171010,routine,2017-10-10,2017
279,90,20170104,routine,2017-01-04,2017
279,94,20151020,routine,2015-10-20,2015
281,96,20160606,routine,2016-06-06,2016
283,81,20170209,routine,2017-02-09,2017
283,73,20151001,routine,2015-10-01,2015
286,82,20161102,routine,2016-11-02,2016
286,72,20160607,routine,2016-06-07,2016
286,83,20171107,routine,2017-11-07,2017
290,89,20160615,routine,2016-06-15,2016
298,80,20150828,routine,2015-08-28,2015
298,92,20171017,routine,2017-10-17,2017
298,87,20160408,routine,2016-04-08,2016
298,88,20161013,routine,2016-10-13,2016
299,96,20150309,routine,2015-03-09,2015
299,94,20171116,routine,2017-11-16,2017
299,96,20160705,routine,2016-07-05,2016
300,86,20171208,routine,2017-12-08,2017
300,68,20160413,routine,2016-04-13,2016
302,69,20150408,routine,2015-04-08,2015
302,89,20160902,routine,2016-09-02,2016
302,81,20170728,routine,2017-07-28,2017
305,87,20160518,routine,2016-05-18,2016
305,88,20180104,routine,2018-01-04,2018
315,87,20170905,routine,2017-09-05,2017
315,89,20150518,routine,2015-05-18,2015
315,92,20161110,routine,2016-11-10,2016
315,94,20150929,routine,2015-09-29,2015
318,96,20170602,routine,2017-06-02,2017
318,94,20151113,routine,2015-11-13,2015
318,98,20171116,routine,2017-11-16,2017
320,84,20150429,routine,2015-04-29,2015
320,77,20171004,routine,2017-10-04,2017
320,68,20160920,routine,2016-09-20,2016
323,100,20160112,routine,2016-01-12,2016
323,94,20161108,routine,2016-11-08,2016
326,82,20160818,routine,2016-08-18,2016
326,81,20180123,routine,2018-01-23,2018
328,90,20160105,routine,2016-01-05,2016
328,81,20161122,routine,2016-11-22,2016
337,90,20160520,routine,2016-05-20,2016
379,77,20170308,routine,2017-03-08,2017
379,74,20160610,routine,2016-06-10,2016
384,96,20180103,routine,2018-01-03,2018
384,76,20170501,routine,2017-05-01,2017
386,90,20160127,routine,2016-01-27,2016
386,84,20171116,routine,2017-11-16,2017
386,82,20160429,routine,2016-04-29,2016
389,96,20170316,routine,2017-03-16,2017
393,84,20160722,routine,2016-07-22,2016
393,76,20170705,routine,2017-07-05,2017
393,90,20150707,routine,2015-07-07,2015
397,94,20160909,routine,2016-09-09,2016
397,94,20171107,routine,2017-11-07,2017
400,100,20160608,routine,2016-06-08,2016
403,81,20160701,routine,2016-07-01,2016
403,81,20150723,routine,2015-07-23,2015
403,88,20170925,routine,2017-09-25,2017
409,98,20150414,routine,2015-04-14,2015
409,83,20170627,routine,2017-06-27,2017
413,78,20160830,routine,2016-08-30,2016
415,87,20150903,routine,2015-09-03,2015
415,92,20170110,routine,2017-01-10,2017
420,78,20160504,routine,2016-05-04,2016
420,74,20171025,routine,2017-10-25,2017
421,89,20160520,routine,2016-05-20,2016
422,94,20160927,routine,2016-09-27,2016
422,92,20150918,routine,2015-09-18,2015
423,78,20171117,routine,2017-11-17,2017
423,85,20160901,routine,2016-09-01,2016
424,81,20150505,routine,2015-05-05,2015
