business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,postal_code_5
68042,YUMMY YUMMY,758 PACIFIC AVE ,San Francisco,CA,94133,37.796828000000005,-122.407804,+14153911068,94133
68045,MAVEN RESTAURANT,598 HAIGHT ST ,San Francisco,CA,94117,37.771937,-122.43193400000001,+14158297982,94117
68058,"HOME MAID RAVIOLI CO., INC.",85 BARTLETT ST ,San Francisco,CA,94110,,,+14155880600,94110
68070,PER DIEM,564 MARKET ST #140,San Francisco,CA,94104,37.789575,-122.401091,+14155164089,94104
68079,PHILZ COFFEE,4298 24TH ST ,San Francisco,CA,94114,37.751058,-122.438272,+14152724770,94114
68089,BURGER KING 5830,245 BAYSHORE BLVD ,San Francisco,CA,94124,37.744062,-122.404475,+14158216288,94124
68090,ORIGINAL JOE'S,601 UNION ST ,San Francisco,CA,94133,37.800363,-122.409477,+14157754877,94133
68091,KIÊN THANH,431 EDDY ST ,San Francisco,CA,94109,,,+14156787326,94109
68104,FRESHROLL,157 04TH ST ,San Francisco,CA,94103,37.783840999999995,-122.403325,+14158141760,94103
68105,GILBERTH'S ROTTISERIE & GRILL,2427 03RD ST ,San Francisco,CA,94107,37.758903000000004,-122.38823799999999,+14155580556,94107
68121,HOT POT GARDEN,1055 TARAVAL ST ,San Francisco,CA,94116,37.742933,-122.477599,+14152158599,94116
68128,FLOURCHYLDE BAKERY,50 POST ST ,San Francisco,CA,94104,,,+14158937700,94104
68130,VINYL CAFE AND WINE BAR,359 DIVISADERO ST ,San Francisco,CA,94117,37.772748,-122.43741399999999,+14153082538,94117
68131,RADIO AFRICA & KITCHEN,4800 03RD ST ,San Francisco,CA,94124,37.734652000000004,-122.390872,+14154202486,94124
68146,CENTO 330 RITCH STREET,372 RITCH ST ,San Francisco,CA,94107,37.778743,-122.39378300000001,+14152607581,94107
68148,SHENG KEE BAKERY & CAFE,814-816 IRVING ST,San Francisco,CA,94122,,,+14154683800,94122
68152,STATE BIRD PROVISIONS,1529 FILLMORE ST ,San Francisco,CA,94115,37.783704,-122.432824,,94115
68158,I-SKEWERS,2407 JUDAH ST ,San Francisco,CA,94122,,,+14156813678,94122
68159,TOWER BURGER,729 PORTOLA DR ,San Francisco,CA,94127,37.744127,-122.453593,+14155046340,94127
68160,GOURMET CAROUSEL,1559 FRANKLIN ST ,San Francisco,CA,94109,37.789072999999995,-122.42378400000001,+14157712044,94109
68173,WISE SONS DELI,3150 24TH ST ,San Francisco,CA,94110,37.752468,-122.415332,+14157873354,94110
68189,SILVERSTONE CAFE,3278 24TH ST ,San Francisco,CA,94110,37.752308,-122.41796200000002,+14152851512,94110
68196,HAPPY YOGURT,503 33RD AVE ,San Francisco,CA,94121,37.779613,-122.493349,+14153866800,94121
68219,CALABRIA BROS.,4763 MISSION ST ,San Francisco,CA,94112,37.722162,-122.436695,+14156028549,94112
68220,CHOMP & SWIG,1541 CLEMENT ST,San Francisco,CA,94118,37.782383,-122.47592900000001,+14155212364,94118
68242,BACON BACON LLC,205 A FREDERICK ST ,San Francisco,CA,94117,,,+14153051968,94117
68247,MIXT GREENS,560 MISSION ST SUITE 125,San Francisco,CA,94105,37.788426,-122.399371,+14152968222,94105
68249,MIXT GREENS,1 MARKET ST ,San Francisco,CA,94105,37.794346999999995,-122.39493200000001,+14152968222,94105
68254,FOUR BARREL COFFEE,2599 SAN BRUNO AVE ,San Francisco,CA,94103,37.776416999999995,-122.43803700000001,+14152520800,94103
68257,AFC SUSHI AT MOLLIE STONE'S #10,635 PORTOLA DR ,San Francisco,CA,94127,37.744876,-122.452425,+14156641600,94127
68258,A&M LIQUOR,1600 SUTTER ST,San Francisco,CA,94109,37.786928,-122.42696399999998,+14159312153,94109
68259,BALBOA THEATER,3630 BALBOA ST ,San Francisco,CA,94121,37.775752000000004,-122.49765500000001,+14157569366,94121
68260,MV BAY BREEZE, PIER 41  ,San Francisco,CA,94133,,,+14158502576,94133
68261,MV PISCES, PIER 41  ,San Francisco,CA,94133,37.808494,-122.412,+14158502536,94133
68262,MV SCORPIO, PIER 41  ,San Francisco,CA,94133,,,+14158502576,94133
68263,MV TAURUS, PIER 41  ,San Francisco,CA,94133,37.808494,-122.412,+14158502576,94133
68264,NAVIN THAI RESTAURANT,1059 POWELL ST,San Francisco,CA,94108,37.794534000000006,-122.40968400000001,,94108
68269,WALGREENS,1979 MISSION ST ,San Francisco,CA,94103,,,+14155588749,94103
68278,FRESH BAY CAFE,3659 BUCHANAN ST ,San Francisco,CA,94123,37.803627,-122.433503,+14159288868,94123
68283,THE SPICE & TEA EXCHANGE, PIER 39  #273,San Francisco,CA,94133,37.808240000000005,-122.41018899999999,+14153930401,94133
68289,WALGREENS,1344 STOCKTON ST ,San Francisco,CA,94133,37.79809,-122.408612,+14159816274,94133
68294,WALGREENS,825 MARKET ST ,San Francisco,CA,94103,37.785187,-122.40648200000001,+14155549502,94103
68295,WALGREENS,730 MARKET ST ,San Francisco,CA,94102,37.787096000000005,-122.404274,+14153974800,94102
68298,WALGREENS,1301 MARKET ST ,San Francisco,CA,94103,37.777167999999996,-122.416702,+14158614010,94103
68320,NEWTREE,16 JESSIE ST ,San Francisco,CA,94105,37.789814,-122.398789,,94105
68321,CAPO'S,641 VALLEJO ST,San Francisco,CA,94133,,,,94133
68331,BLACKWOOD THAI CUISINE,2150 CHESTNUT ST ,San Francisco,CA,94123,37.800508,-122.438824,+14156741814,94123
68345,MIXT GREENS,475 SANSOME ST  100-S,San Francisco,CA,94111,37.794643,-122.401395,+14152968222,94111
68351,MIXT GREENS,114 SANSOME ST #120,San Francisco,CA,94104,37.791456,-122.40071599999999,+14152968222,94104
68352,VOGUE THEATRE,3290 SACRAMENTO ST ,San Francisco,CA,94115,37.788247999999996,-122.446674,+14157569366,94115
68353,HOPS & HOMINY,1 TILLMAN PL ,San Francisco,CA,94108,37.789277,-122.405324,+14153736341,94108
